chan_freqs,calfac_x,calfac_y
13398437.5,13.367932175849718,17.50775626361298
13422363.28125,18.27464640139158,16.476235878537175
13446289.0625,14.496607423206054,18.266990160584115
13470214.84375,13.273981380598348,18.318049226577926
13494140.625,13.209843577349801,19.631425526306273
13518066.40625,16.99106992188044,17.99969146959905
13541992.1875,15.244133173432715,18.412176588773484
13565917.96875,14.658503114982608,13.355001676637755
13589843.75,129.25023378472338,164.0442734577574
13613769.53125,112.59045584375959,23.972640787575823
13637695.3125,58.507089536711355,45.36534873092043
13661621.09375,190.08034141694878,169.54511422305063
13685546.875,36.74231867015857,40.33753748018074
13709472.65625,33.786285373178806,34.54079446865821
13733398.4375,32.17179784846583,33.05790245512853
13757324.21875,812.9381737029925,775.3718243183491
13781250.0,495.104380156485,458.63327634106724
13805175.78125,326.1278398510911,318.960216687326
13829101.5625,248.26274942359439,222.56108066101237
13853027.34375,75.73371311748845,60.52726731130585
13876953.125,52.53935611567559,89.3070576129506
13900878.90625,62.88829464929272,89.72377556736157
13924804.6875,23.482823514160682,14.15439119110634
13948730.46875,22.660076006502752,13.596930581507987
13972656.25,14.292573429141129,8.728608257316965
13996582.03125,12.113313582396508,7.114737876105336
14020507.8125,46.91546761540743,66.83439034027437
14044433.59375,152.9852065600898,194.7324958348382
14068359.375,819.5822663469198,436.9065864262234
14092285.15625,741.2688727651147,165.22894784028853
14116210.9375,5.493489975689072,4.601554103496022
14140136.71875,5.582170293055164,4.907339853960779
14164062.5,5.399857398889974,5.210076676146713
14187988.28125,356.2803200459463,494.582830690568
14211914.0625,64.09800542954662,135.0112100142398
14235839.84375,9.667083530066163,7.360342907226389
14259765.625,683.870858494974,330.2510019744913
14283691.40625,29.705250656617018,10.246652644284755
14307617.1875,6.654548298769628,5.440317479099907
14331542.96875,6.769424259261332,5.7835062367790675
14355468.75,7.035362223924251,6.317534774090939
14379394.53125,6.98208605048561,6.584289007292831
14403320.3125,32.373379737928474,38.26461583892182
14427246.09375,396.4970116811689,435.5732863289016
14451171.875,115.8605497636057,213.54198369652357
14475097.65625,25.752137956324212,71.45215139290589
14499023.4375,6.157149471210044,7.928009508401302
14522949.21875,6.55039835970215,8.431926630233017
14546875.0,6.762843100462144,8.87182029701229
14570800.78125,7.037263543277715,8.667763927564806
14594726.5625,81.9373166244007,124.51450933880686
14618652.34375,7.913328666608692,9.188674052711296
14642578.125,7.677607943997977,9.679710455582011
14666503.90625,13.931514125542371,64.11896493977834
14690429.6875,9.419898609289156,10.450012172305808
14714355.46875,14.495373688519074,10.449005901006657
14738281.25,9.878905832620545,11.05769145053036
14762207.03125,10.522587830667437,11.122496276019831
14786132.8125,10.46536501662399,11.110152917538713
14810058.59375,10.404750370230788,11.163064875485446
14833984.375,10.275417022971098,11.152137755933586
14857910.15625,11.268453783333465,11.703685455127882
14881835.9375,39.229927796671454,50.17544971275203
14905761.71875,136.17866308268069,99.72079038922452
14929687.5,431.4715706518381,375.6900664312097
14953613.28125,14.16911339088307,15.341499390643895
14977539.0625,15.32373159986947,15.685597809599098
15001464.84375,1017.421866025559,1465.058064077813
15025390.625,15.167499164601265,16.880904479189084
15049316.40625,15.457039450241771,12.076523976647362
15073242.1875,40.423727151470956,34.357392118798906
15097167.96875,261.73608475441944,675.400671968114
15121093.75,131.0570710775353,151.26504408667284
15145019.53125,868.692065222137,895.3314026365665
15168945.3125,847.2070979768434,745.1692989915413
15192871.09375,311.37546306509853,447.48443121653486
15216796.875,735.0845087065018,541.2485821765086
15240722.65625,778.0894226377377,870.7696654588533
15264648.4375,272.7107593124638,243.30257290001146
15288574.21875,365.4573198404821,255.6673622300421
15312500.0,34.84822054560971,53.32979879685931
15336425.78125,145.85287735917913,113.89523563640657
15360351.5625,135.11881758609263,82.56083645112246
15384277.34375,451.10477265163354,544.6439118048347
15408203.125,18.16503091867037,17.593860588804073
15432128.90625,41.1287950446645,31.953265536553054
15456054.6875,72.98415045323345,58.25281012112187
15479980.46875,186.26117297789244,125.4614084057813
15503906.25,66.33937263860219,72.8927642542314
15527832.03125,332.9231008874458,188.30188979371235
15551757.8125,89.31274047105978,60.005758268040566
15575683.59375,33.04348631164299,26.189821142607457
15599609.375,135.01356985881034,128.06592642507482
15623535.15625,28.061727129054244,52.20880789959044
15647460.9375,12.736185036599249,11.828929530563647
15671386.71875,96.69726779149593,88.63028857682761
15695312.5,34.24464960861694,26.375095138136327
15719238.28125,1004.1565805922662,1059.2022496256952
15743164.0625,16.848795642809797,10.975099297555614
15767089.84375,88.22593973980032,83.63067560295974
15791015.625,928.0891498034682,807.3353304646147
15814941.40625,299.43409250310185,204.03535129917992
15838867.1875,11.043612421961543,34.077405514801804
15862792.96875,11.170435985486254,8.145193385644083
15886718.75,8.839341067130313,8.645061446297897
15910644.53125,4.08769742438564,8.542280781617785
15934570.3125,102.28503060992276,99.67897743006776
15958496.09375,107.3623425813159,102.90283811830653
15982421.875,255.3006232000305,293.37777540285344
16006347.65625,229.87031505723417,284.32097662955744
16030273.4375,11.487829046120755,26.367134406710235
16054199.21875,10.286389888394025,8.76097692085421
16078125.0,10.074443490104613,8.31503821771567
16102050.78125,798.3530764575896,662.3589359053994
16125976.5625,8.561006085793117,8.159585699241532
16149902.34375,126.2115258197843,44.55143349016599
16173828.125,74.76335696852203,113.99613291347762
16197753.90625,14.16867512431477,21.557488730391285
16221679.6875,12.37572233877132,12.41702367803028
16245605.46875,9.99031340549934,11.60497903632415
16269531.25,7.779035570068796,11.282229073118092
16293457.03125,370.9428074996931,246.81537809646582
